令和４年の月別の自殺者数について,,,,,,,,,,,,,（５月末の速報値）,
１　自殺者総数,,,,,,,,,,,,,【令和４年６月６日集計】,
,,合　計,１月,２月,３月,４月,５月,６月,７月,８月,９月,１０月,１１月,１２月
総数,,"8,848","1,689","1,489","1,952","1,719","1,999",,,,,,,
,うち男,"5,966","1,129","1,012","1,324","1,163","1,338",,,,,,,
,うち女,"2,882",560,477,628,556,661,,,,,,,
,,,,,,,,,,,,,,
２　都道府県別自殺者数,,,,,,,,,,,,,,
都道府県,,合　計,１月,２月,３月,４月,５月,６月,７月,８月,９月,１０月,１１月,１２月
北海道,,417,76,68,106,76,91,,,,,,,
青　森,,95,14,13,18,22,28,,,,,,,
岩　手,,102,16,19,28,22,17,,,,,,,
宮　城,,186,38,25,51,29,43,,,,,,,
秋　田,,89,16,8,17,21,27,,,,,,,
山　形,,75,9,15,10,19,22,,,,,,,
福　島,,152,28,32,32,27,33,,,,,,,
東　京,,983,177,161,208,209,228,,,,,,,
茨　城,,212,35,31,46,46,54,,,,,,,
栃　木,,148,30,27,34,26,31,,,,,,,
群　馬,,134,26,24,21,33,30,,,,,,,
埼　玉,,480,94,72,112,105,97,,,,,,,
千　葉,,382,74,58,88,66,96,,,,,,,
神奈川,,485,93,80,100,100,112,,,,,,,
新　潟,,180,27,29,37,41,46,,,,,,,
山　梨,,83,17,17,22,15,12,,,,,,,
長　野,,133,19,19,30,27,38,,,,,,,
静　岡,,281,57,52,58,52,62,,,,,,,
富　山,,87,17,18,19,13,20,,,,,,,
石　川,,79,12,16,11,20,20,,,,,,,
福　井,,50,10,7,13,11,9,,,,,,,
岐　阜,,154,27,32,36,25,34,,,,,,,
愛　知,,496,98,83,103,103,109,,,,,,,
三　重,,128,16,25,37,27,23,,,,,,,
滋　賀,,106,14,21,26,25,20,,,,,,,
京　都,,164,33,30,42,25,34,,,,,,,
大　阪,,534,114,102,114,90,114,,,,,,,
兵　庫,,389,71,71,85,68,94,,,,,,,
奈　良,,101,18,19,22,14,28,,,,,,,
和歌山,,80,11,12,23,18,16,,,,,,,
鳥　取,,43,7,11,7,8,10,,,,,,,
島　根,,50,6,8,10,15,11,,,,,,,
岡　山,,132,34,17,28,21,32,,,,,,,
広　島,,196,42,32,35,42,45,,,,,,,
山　口,,98,19,9,15,23,32,,,,,,,
徳　島,,44,3,10,16,7,8,,,,,,,
香　川,,58,15,12,18,7,6,,,,,,,
愛　媛,,118,15,20,33,24,26,,,,,,,
高　知,,56,13,10,15,8,10,,,,,,,
福　岡,,364,75,60,81,69,79,,,,,,,
佐　賀,,64,14,10,16,9,15,,,,,,,
長　崎,,65,22,11,11,12,9,,,,,,,
熊　本,,135,29,20,28,28,30,,,,,,,
大　分,,79,18,14,13,14,20,,,,,,,
宮　崎,,105,22,20,21,18,24,,,,,,,
鹿児島,,148,39,21,27,26,35,,,,,,,
沖　縄,,108,29,18,29,13,19,,,,,,,
※　自殺者数は、死体が発見された都道府県及び月に計上している。,,,,,,,,,,,,,,
